ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.899,6.517,7.6303,-0.1963,6.088,7.6856,-0.6297,0.4709,0.9348,0.1278,-0.1822,0.1619,889.0,28.86,-8.7,-36.3,299.29,-38.37,1.46,3.1,1009.05,55.245,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,17,2015-08-25 14:32:43:035
0.0227,6.432,6.9755,-0.0607,6.3306,7.4893,-0.0063,0.0571,-0.7041,0.1278,-0.1822,0.1619,860.0,28.86,-8.7,-36.3,299.29,-38.37,1.46,3.1,1009.07,55.245,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,123,2015-08-25 14:32:43:141
0.6871,6.5386,8.6646,0.2822,6.2213,7.5753,0.4049,0.3172,1.0893,-0.1736,-0.2961,-0.0373,758.0,28.68,-8.7,-36.3,299.91,-40.21,0.46,3.1,1009.08,55.245,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,229,2015-08-25 14:32:43:247
0.7985,5.7497,9.1494,0.3474,6.344,7.4702,1.064,-0.0149,1.0843,0.245,-0.032,0.1854,758.0,28.02,-8.64,-36.72,298.35,-39.38,-2.13,3.1,1009.08,59.063,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,335,2015-08-25 14:32:43:353
-0.182,6.9252,7.1599,0.468,6.9625,6.8902,0.9493,-0.3449,0.2266,0.7819,-0.2684,0.0437,708.0,26.88,-8.64,-37.32,299.5,-40.31,-2.66,3.1,1009.08,59.063,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,441,2015-08-25 14:32:43:459
0.4034,7.8231,4.9081,0.2825,7.6111,6.1775,-0.5985,-0.0574,-1.2179,0.5902,0.0788,-0.147,708.0,25.62,-8.82,-37.86,304.13,-45.23,-3.89,3.1,1009.08,59.063,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,547,2015-08-25 14:32:43:565
0.8691,7.8997,3.3327,0.1574,7.6955,6.0766,0.7117,0.2042,-2.7438,-0.2823,-0.0756,0.0511,680.0,24.36,-9.48,-38.28,311.73,-50.91,-2.62,3.1,1009.04,58.658,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,653,2015-08-25 14:32:43:671
0.4561,6.098,7.5753,0.4877,6.4845,7.3406,-0.1801,-0.0824,1.2031,-1.3891,-0.5209,-0.1161,680.0,23.58,-10.56,-38.4,312.02,-51.7,-1.48,3.1,1009.04,58.658,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,759,2015-08-25 14:32:43:777
1.6963,5.934,6.7325,0.4877,6.4845,7.3406,-0.1801,-0.0824,1.2031,1.0994,-1.2069,-0.0043,661.0,23.4,-11.64,-38.28,300.6,-41.39,-3.8,3.1,1009.08,58.658,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,864,2015-08-25 14:32:43:882
0.8308,7.3011,7.2293,1.2064,6.7097,7.0495,-0.2798,0.0156,-0.4618,0.0213,-0.4623,-0.2653,480.0,23.28,-12.3,-38.22,296.06,-43.17,-9.71,3.1,1009.09,50.449,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,970,2015-08-25 14:32:43:988
0.6357,6.9216,6.5936,0.9435,7.0115,6.7911,-0.3042,-0.0779,-1.0666,0.0213,-0.4623,-0.2653,480.0,23.28,-12.3,-38.22,296.06,-43.17,-9.71,3.1,1009.09,50.449,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1076,2015-08-25 14:32:44:094
-0.6967,5.6084,8.7736,1.0459,6.4246,7.3349,-1.3201,-0.3242,2.0037,-1.0173,-0.1971,-0.1662,443.0,23.04,-12.42,-38.22,300.13,-45.64,-7.91,3.1,1009.06,50.449,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1182,2015-08-25 14:32:44:200
-0.1844,5.8239,9.3458,0.6717,5.8715,7.8259,-0.8561,-0.0476,1.5198,-0.718,0.7595,0.1065,443.0,22.08,-11.64,-38.64,297.48,-40.93,-8.12,3.1,1009.06,50.497,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1288,2015-08-25 14:32:44:306
-1.2725,4.1276,11.2001,0.3987,5.1444,8.3395,-2.1489,-2.4796,2.8618,-0.7926,0.1374,-1.2059,575.0,20.94,-10.26,-39.24,300.31,-36.78,-4.91,3.1,1009.02,50.497,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1394,2015-08-25 14:32:44:412
1.3767,5.5761,6.2321,0.2876,5.9381,7.7992,-0.0996,-0.2662,1.7681,0.8842,-0.278,-0.8458,590.0,19.92,-8.64,-40.02,300.31,-31.64,-2.74,3.1,1009.06,50.497,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1500,2015-08-25 14:32:44:518
-0.0862,7.4484,5.5174,0.3227,6.5716,7.2718,0.2747,0.4697,-0.2377,0.2866,-0.1055,-0.1278,590.0,19.14,-6.54,-40.74,312.55,-37.27,-2.11,3.1,1009.06,50.497,42.359245,-71.10849,-125.81,11.68984745871345,,0.0,312.90323,,3 / 19,1606,2015-08-25 14:32:44:624
-0.5698,6.2453,7.0749,0.3439,6.7236,7.1306,-0.4612,0.0041,-0.0916,0.1449,-0.1843,-0.2035,526.0,19.08,-4.98,-41.16,318.09,-42.08,-2.54,3.1,1009.07,50.499,42.359245,-71.10849,-125.81,11.68984745871345,,0.0,312.90323,,3 / 19,1712,2015-08-25 14:32:44:730
-0.6117,6.5206,7.021,0.3439,6.7236,7.1306,-0.4612,0.0041,-0.0916,0.0874,-0.1598,-0.1459,526.0,19.2,-4.08,-41.34,319.51,-43.28,-2.76,3.1,1009.07,50.499,42.359245,-71.10849,-125.81,11.68984745871345,,0.0,312.90323,,4 / 19,1819,2015-08-25 14:32:44:837
0.4465,6.7505,6.6679,0.5366,6.809,7.037,0.1709,-0.0238,-0.4997,-0.1172,0.0533,-0.1332,444.0,19.14,-3.96,-41.34,318.0,-43.97,-4.36,3.1,1009.06,50.008,42.359245,-71.10849,-125.81,11.131168980173971,,0.0,312.90323,,4 / 19,1925,2015-08-25 14:32:44:943
0.5938,6.9204,7.106,0.5304,6.8469,7.0007,-0.3688,-0.2784,-0.3197,-0.1172,0.0533,-0.1332,419.0,19.14,-3.96,-41.34,318.0,-43.97,-4.36,3.1,1009.05,50.008,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2031,2015-08-25 14:32:45:049
-0.4681,6.5326,7.0306,0.3893,6.788,7.067,-0.5138,-0.1297,-0.1466,0.0117,-0.0714,-0.1278,419.0,18.54,-4.68,-41.4,317.39,-44.28,-4.33,3.1,1009.05,50.008,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2137,2015-08-25 14:32:45:155
-0.5878,6.3698,7.1658,0.3263,6.7143,7.1402,0.1429,0.029,0.4327,-0.1726,0.0511,-0.0341,428.0,17.52,-5.4,-41.52,320.65,-43.8,-3.15,3.1,1009.09,50.175,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2243,2015-08-25 14:32:45:261
0.2131,6.687,7.0378,0.4352,6.7886,7.0637,-0.1862,-0.0549,-0.7059,0.0831,-0.228,0.0138,428.0,16.44,-6.12,-41.58,323.11,-43.21,-2.62,3.1,1009.09,50.175,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2349,2015-08-25 14:32:45:367
0.2622,6.699,7.2365,0.6554,6.743,7.0903,0.1562,-0.0201,0.0013,-0.0533,-0.1012,-0.0107,402.0,15.42,-6.6,-41.7,323.04,-43.81,-3.53,3.1,1009.11,50.175,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2455,2015-08-25 14:32:45:473
0.3795,6.7325,6.5529,0.8271,6.7387,7.0764,0.3102,0.4355,-0.2625,-0.0639,-0.425,-0.1342,384.0,14.7,-6.66,-41.88,320.4,-43.44,-5.28,3.1,1009.09,51.385,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2561,2015-08-25 14:32:45:579
1.2965,6.6774,7.4915,0.7551,6.5655,7.2453,0.8946,0.3058,-0.7977,-0.0224,0.506,-0.1459,384.0,14.16,-6.54,-42.12,320.1,-43.41,-6.67,3.1,1009.09,51.385,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2667,2015-08-25 14:32:45:685
0.6404,6.3925,7.8482,0.7551,6.5655,7.2453,0.8946,0.3058,-0.7977,-0.066,-1.0077,-0.3047,402.0,13.5,-6.18,-42.42,320.96,-42.03,-5.95,3.1,1009.07,51.385,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2773,2015-08-25 14:32:45:791
1.7789,6.4799,7.8662,1.1546,6.5482,7.2082,0.6243,-0.0683,0.6579,-0.066,-1.0077,-0.3047,402.0,13.5,-6.18,-42.42,320.96,-42.03,-5.95,3.1,1009.07,51.385,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2879,2015-08-25 14:32:45:897
1.6328,5.764,7.9835,1.6728,6.3884,7.2499,-0.265,-0.7129,1.2818,-0.4858,-0.8725,-0.4474,402.0,12.36,-5.46,-42.9,321.4,-41.89,-9.1,3.1,1009.07,49.874,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,2984,2015-08-25 14:32:46:002
1.6712,5.9221,8.0218,2.247,6.2874,7.1826,-0.589,-0.3462,1.0008,-0.1449,-0.9374,-0.2546,402.0,10.2,-4.56,-43.32,318.62,-40.65,-12.99,3.1,1009.07,49.874,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,3090,2015-08-25 14:32:46:108
1.3815,5.8682,8.3881,2.4885,6.248,7.1372,-1.1071,-0.3798,1.2509,0.0959,-0.7105,-0.1257,321.0,6.96,-3.66,-43.56,316.1,-39.58,-19.22,3.1,1009.07,49.874,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,3196,2015-08-25 14:32:46:214
1.3815,5.8682,8.3881,2.4885,6.248,7.1372,-1.1071,-0.3798,1.2509,0.0959,-0.7105,-0.1257,321.0,6.96,-3.66,-43.56,316.1,-39.58,-19.22,3.1,1009.07,49.763,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,3302,2015-08-25 14:32:46:320
1.7645,-0.0646,2.2829,4.1781,6.4755,6.0648,-2.4136,-6.5402,-3.7819,0.6477,-1.1771,0.4037,321.0,4.86,-3.18,-43.68,320.27,-39.58,-19.22,3.1,1009.07,49.763,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,3408,2015-08-25 14:32:46:426
14.8812,-2.8982,1.7298,4.1781,6.4755,6.0648,-2.4136,-6.5402,-3.7819,0.2653,-3.3407,3.7252,390.0,0.12,-2.7,-43.5,310.9,-41.32,-34.56,3.1,1009.02,49.763,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,3515,2015-08-25 14:32:46:533
10.9319,-2.5702,-5.448,7.2886,4.9271,4.3325,9.1452,-7.344,-4.5372,1.3721,-2.6813,4.1375,390.0,-7.56,-3.06,-41.52,289.99,-30.16,-59.27,3.1,1009.02,50.551,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,3621,2015-08-25 14:32:46:639
9.1901,-4.9105,-5.363,8.8979,3.1287,2.6849,0.2946,-7.5568,-6.0009,0.277,-3.7039,1.7097,519.0,-18.42,0.72,-35.16,288.86,-18.6,-73.21,0.0,1009.09,50.551,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,3727,2015-08-25 14:32:46:745
12.1194,-2.0159,-9.4068,9.6112,1.8117,0.7153,1.5769,-5.0367,-10.5914,-0.7414,-0.2972,1.9185,0.0,-28.98,9.42,-24.9,302.53,-10.65,-85.74,0.0,1009.12,50.551,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,3832,2015-08-25 14:32:46:850
11.57,-2.1548,-5.1571,9.793,0.3812,0.3493,1.777,-2.536,-5.5064,0.6136,1.4594,2.0624,0.0,-35.64,23.82,-9.9,341.07,-2.23,-87.96,0.0,1009.12,59.653,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,3939,2015-08-25 14:32:46:957
7.7895,-5.6743,-4.4209,9.7467,-0.9106,0.5856,-0.6834,-5.7441,-3.4897,0.6967,0.0937,-0.163,1.0,-32.88,42.42,4.8,10.19,5.33,-86.56,0.0,1009.1,59.653,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,4044,2015-08-25 14:32:47:062
9.8402,-4.7082,-5.1356,9.7669,-0.7552,0.4551,1.268,-5.3704,-4.4019,-0.1332,-0.1193,-3.4483,1.0,-23.76,57.72,15.78,16.97,4.42,-87.33,0.0,1009.1,59.653,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,4151,2015-08-25 14:32:47:169
4.4365,-6.213,-0.3268,9.7851,0.6274,-0.1654,-5.6719,-6.6548,-3.2571,-0.081,-1.5425,-1.5223,1.0,-15.24,67.86,22.74,18.28,-3.67,-90.97,0.0,1009.16,54.997,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,4257,2015-08-25 14:32:47:275
7.4316,-12.3493,-1.4509,9.776,0.7372,-0.2384,-2.3444,-13.0865,-1.2125,-0.081,-1.5425,-1.5223,4.0,-15.24,67.86,22.74,18.28,-3.67,-90.97,0.0,1009.12,54.997,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,4 / 19,4363,2015-08-25 14:32:47:381
4.4209,-3.62,-7.3622,9.776,0.7372,-0.2384,-2.3444,-13.0865,-1.2125,2.5215,0.0629,5.174,4.0,-14.52,69.24,24.6,19.39,-4.31,-91.4,0.0,1009.12,54.997,42.359245,-71.10849,-125.81,10.9525623526059,,0.0,312.90323,,7 / 19,4468,2015-08-25 14:32:47:486
3.1472,-9.5074,-1.2462,9.7146,-1.1702,-0.6542,-2.0196,-1.813,-3.7679,-0.1161,-1.2123,-1.812,1.0,-18.06,68.46,23.16,18.44,6.85,-93.85,0.0,1009.11,62.159,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,7 / 19,4574,2015-08-25 14:32:47:592
8.3438,-10.9116,-6.2896,9.7006,-0.5108,-1.3443,-3.6301,-6.7819,-3.1675,-0.9332,-0.3984,-0.2258,1.0,-19.98,70.2,18.78,13.16,2.99,-97.89,0.0,1009.11,62.159,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,7 / 19,4681,2015-08-25 14:32:47:699
5.1643,-6.0418,-4.0689,9.7051,-0.5737,-1.2855,4.3609,0.0541,-6.3832,-0.0405,-0.8075,-2.6056,3.0,-22.2,70.68,16.92,11.37,3.35,-97.55,0.0,1009.1,62.159,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,7 / 19,4786,2015-08-25 14:32:47:804
7.5046,-2.7054,-5.2768,9.5906,0.6546,-1.9396,-2.9946,-4.5547,-1.7199,-0.9023,1.0184,-1.5617,3.0,-21.78,73.32,15.0,7.91,-3.83,-101.43,0.0,1009.1,58.066,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,7 / 19,4893,2015-08-25 14:32:47:911
9.1016,-2.0722,-2.9652,9.53,1.447,-1.8043,-0.4284,-3.5192,-1.1609,0.5316,0.1832,0.5529,0.0,-28.56,69.84,13.32,5.71,-8.48,-100.72,0.0,1009.12,58.066,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,7 / 19,4998,2015-08-25 14:32:48:016
8.6335,-1.1432,-3.2166,9.6045,0.9164,-1.7564,-2.7558,-4.1581,-3.5061,0.6317,0.6999,2.236,0.0,-40.5,61.02,14.34,5.81,-5.36,-100.36,0.0,1009.16,58.066,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,7 / 19,5104,2015-08-25 14:32:48:122
8.0421,-5.1691,-4.6268,9.6272,-0.732,-1.7177,-1.3181,-4.0097,-0.2742,0.6317,0.6999,2.236,0.0,-40.5,61.02,14.34,5.81,-5.36,-100.36,0.0,1009.16,64.276,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,7 / 19,5211,2015-08-25 14:32:48:229
8.9531,-3.9241,-0.2059,9.4669,-1.3795,-2.155,-0.8311,0.1788,-2.4395,0.196,0.1715,1.9111,0.0,-49.86,54.12,12.48,3.47,4.28,-100.12,0.0,1009.15,64.276,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,7 / 19,5317,2015-08-25 14:32:48:335
6.8881,-1.8615,-5.6324,9.4669,-1.3795,-2.155,-0.8311,0.1788,-2.4395,-0.294,-0.2322,-0.9172,0.0,-52.26,51.66,7.26,353.9,8.09,-102.82,0.0,1009.15,64.276,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,7 / 19,5422,2015-08-25 14:32:48:440
10.835,-4.6076,-6.6822,9.5267,-0.3806,-2.2951,-2.4518,-5.1141,-0.2715,-2.4107,-0.0053,-2.9753,0.0,-47.28,54.72,2.88,351.35,2.22,-103.55,0.0,1009.16,57.851,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,13 / 19,5529,2015-08-25 14:32:48:547
4.0713,-4.9763,-6.8342,9.4633,0.7992,-2.4449,-5.3919,-5.7756,-4.3894,1.7737,-2.1966,0.2344,0.0,-45.72,56.22,2.28,350.86,-4.67,-104.49,0.0,1009.14,57.851,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,13 / 19,5634,2015-08-25 14:32:48:652
7.7033,-0.2131,-3.5542,9.1908,0.7952,-3.3267,-2.2895,-1.2453,-4.8818,0.0341,-0.4474,-0.5401,0.0,-46.26,55.44,3.9,348.49,-4.65,-109.9,0.0,1009.14,57.851,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,13 / 19,5741,2015-08-25 14:32:48:759
8.4455,-2.2613,-5.6192,9.1501,0.7745,-3.4418,0.7009,-1.8507,-3.0525,-1.5436,2.0123,-0.066,0.0,-51.66,50.82,9.3,349.8,-4.53,-110.61,0.0,1009.14,53.283,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,13 / 19,5846,2015-08-25 14:32:48:864
7.8961,-0.0778,-3.5985,9.3772,0.7747,-2.7637,-0.448,-1.5421,-0.739,-0.7414,0.0256,0.3409,0.0,-58.62,44.88,15.66,358.46,-4.53,-106.42,0.0,1009.14,53.283,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,13 / 19,5953,2015-08-25 14:32:48:971
7.8961,-1.1684,-1.5634,9.3774,0.4782,-2.8296,-1.2251,-2.3876,-0.9377,0.457,0.1225,0.947,0.0,-60.54,41.94,17.7,359.51,-2.79,-106.79,0.0,1009.08,53.283,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,13 / 19,6059,2015-08-25 14:32:49:077
17.1341,-9.4679,-6.948,8.9411,-2.6463,-3.037,8.193,-6.8216,-3.9109,0.457,0.1225,0.947,0.0,-60.54,41.94,17.7,359.51,-2.79,-106.79,0.0,1009.15,55.695,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,13 / 19,6164,2015-08-25 14:32:49:182
10.4986,-9.9922,-12.5492,8.9411,-2.6463,-3.037,8.193,-6.8216,-3.9109,3.134,-3.6997,3.51,0.0,-60.72,40.8,18.0,353.42,15.66,-108.76,0.0,1009.15,55.695,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,13 / 19,6270,2015-08-25 14:32:49:288
1.2055,-8.7759,-6.456,3.4957,-7.7708,-4.8543,14.1088,4.6069,-17.4764,-1.0312,-2.0102,1.159,43.0,-55.56,45.3,16.74,255.15,52.41,-144.24,3.1,1009.14,55.695,42.359142,-71.108894,-87.1,10.9525623526059,,0.0,67.741936,,13 / 19,6377,2015-08-25 14:32:49:395
-5.2301,-21.0941,1.166,1.6531,-5.8696,-7.6802,14.1762,3.7279,-4.5877,-8.8374,6.5333,-5.6022,43.0,-40.92,51.3,7.14,309.3,36.76,-167.85,3.1,1009.14,53.118,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,6482,2015-08-25 14:32:49:500
2.7186,0.3531,-1.7909,8.5247,2.3123,-4.2606,-0.0205,-4.3354,-10.3895,-2.1838,7.8073,-3.1383,515.0,-31.62,50.58,3.96,349.29,-13.64,-116.56,3.1,1009.07,53.118,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,6589,2015-08-25 14:32:49:607
6.9863,7.5298,-0.5614,8.0302,4.7959,2.9472,3.3686,1.0352,-5.8585,-1.1409,2.5747,-0.6115,297.0,-26.46,40.38,-4.62,5.11,-29.28,-69.85,3.1,1009.07,53.118,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,6695,2015-08-25 14:32:49:713
-1.2151,2.7904,1.6269,6.7792,4.6215,5.3716,-7.9943,-1.8311,-3.7447,1.8663,-3.6368,2.285,297.0,-22.98,23.88,-16.8,1.59,-28.12,-51.61,3.1,1009.07,52.867,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,6801,2015-08-25 14:32:49:819
0.5423,-22.1919,-12.0907,9.6283,0.8934,-1.6332,1.1671,-24.4248,-4.1033,2.6056,-7.0148,10.0561,391.0,-28.02,6.84,-21.48,289.85,-5.23,-99.63,3.1,1009.12,52.867,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,6907,2015-08-25 14:32:49:925
10.2759,-9.7444,-12.7048,4.1247,-6.9742,-5.5242,14.7273,0.3196,-2.9955,4.7926,-3.884,-0.1907,391.0,-31.44,2.88,-26.1,275.28,45.33,-143.25,0.0,1009.12,52.867,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,7013,2015-08-25 14:32:50:031
8.3522,-7.8697,-8.9196,3.6461,-7.9196,-4.4895,12.164,4.381,-6.1085,4.7926,-3.884,-0.1907,8.0,-31.44,2.88,-26.1,275.28,45.33,-143.25,0.0,1009.09,60.361,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,7118,2015-08-25 14:32:50:136
7.1551,-7.7405,-7.4962,3.6461,-7.9196,-4.4895,12.164,4.381,-6.1085,-0.8916,1.6224,-3.4355,8.0,-21.84,19.8,-22.26,294.93,53.86,-140.92,0.0,1009.09,60.361,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,7224,2015-08-25 14:32:50:242
-0.8655,-10.5165,-3.4261,6.8611,-4.8879,-5.0204,0.2748,-3.3565,6.664,-1.2325,1.2677,-3.9479,0.0,-17.46,40.14,-10.86,328.67,29.9,-126.19,0.0,1009.09,60.361,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,7330,2015-08-25 14:32:50:348
7.8087,0.6333,-8.1738,8.7033,-1.2472,-4.3436,-0.8946,1.8804,-3.8302,0.3164,-1.0312,-1.7438,0.0,-22.98,55.92,2.34,350.88,7.31,-116.52,0.0,1009.16,52.867,42.359135,-71.108894,-93.55,10.9525623526059,,0.0,70.96774,,7 / 19,7436,2015-08-25 14:32:50:454
0.3855,-2.6384,-4.7154,7.6805,0.2507,-6.0924,0.3856,0.7333,-1.1764,0.5167,-1.0589,-0.7169,0.0,-29.52,59.88,9.48,349.19,-1.47,-128.42,0.0,1009.16,52.867,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,6 / 19,7543,2015-08-25 14:32:50:561
9.013,-1.9249,-5.6503,7.2464,1.3239,-6.4735,2.0874,1.9478,-2.9345,-1.0653,1.0876,-0.3366,0.0,-45.3,49.74,14.64,341.27,-7.76,-131.78,0.0,1009.09,52.867,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,6 / 19,7649,2015-08-25 14:32:50:667
8.1199,2.0853,-5.023,7.989,0.4313,-5.6709,0.8803,-0.8,0.454,0.032,0.8234,-0.0341,0.0,-59.4,35.4,17.76,332.58,-2.52,-125.37,0.0,1009.09,54.837,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,6 / 19,7755,2015-08-25 14:32:50:773
5.5366,0.146,-5.1787,8.6787,0.2116,-4.5612,-2.2108,0.7856,-2.7602,0.2642,-0.425,1.0258,0.0,-64.74,24.24,19.74,333.76,-1.24,-117.72,0.0,1009.09,54.837,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,6 / 19,7861,2015-08-25 14:32:50:879
10.0114,0.1113,-6.7349,8.4752,0.1944,-4.9298,1.5362,-0.0831,-1.8051,0.2642,-0.425,1.0258,0.0,-64.74,24.24,19.74,333.76,-1.24,-117.72,0.0,1009.18,54.837,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,6 / 19,7967,2015-08-25 14:32:50:985
10.3633,4.6998,-5.1068,8.1642,1.7639,-5.1385,-1.3407,1.1941,1.1785,-0.4943,-0.8309,0.1129,0.0,-65.4,19.14,21.12,324.43,-1.14,-120.19,0.0,1009.18,54.837,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,6 / 19,8073,2015-08-25 14:32:51:091
7.1359,3.7589,-5.0182,8.1642,1.7639,-5.1385,-1.3407,1.1941,1.1785,0.1822,0.229,-0.1875,0.0,-65.82,17.04,21.48,328.87,-10.36,-122.19,0.0,1009.11,55.475,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,6 / 19,8178,2015-08-25 14:32:51:196
9.3637,2.7821,-6.0837,7.8118,2.6292,-5.3135,0.064,3.2725,1.0016,0.4783,-0.2237,0.1609,0.0,-66.3,16.32,21.6,330.43,-15.55,-124.22,0.0,1009.11,55.475,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,6 / 19,8285,2015-08-25 14:32:51:303
7.6758,-7.27,-5.1499,7.022,3.8262,-5.6765,1.2632,0.3769,-0.5293,0.8234,-0.1289,0.2322,0.0,-66.6,15.78,22.14,328.27,-22.96,-128.95,0.0,1009.14,55.475,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,6 / 19,8390,2015-08-25 14:32:51:408
7.8889,2.557,-5.5773,7.5193,1.7292,-6.053,-0.6875,1.4443,1.0072,-0.6392,0.9673,-0.3782,0.0,-66.72,14.76,22.8,317.73,-10.16,-128.83,0.0,1009.11,57.012,42.359177,-71.1089,-58.06,10.9525623526059,,0.0,54.83871,,12 / 19,8496,2015-08-25 14:32:51:514
