DateTime,latitude,longitude,altitude,speed,accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,orientationZ,orientationY,orientationX,userAccelerationX,userAccelerationY,userAccelerationZ,quaternionX,quaternionY,quaternionZ,quaternionW,gravityX,gravityY,gravityZ,magneticFieldX,magneticFieldY,magneticFieldZ
2015-08-27 10:09:54.682,42.3504870402,-71.1106910774,13.07316,-1.0,-0.0425881030304,-0.0433072494718,-1.20440738658,-0.0768895294204,-0.3974772314,-0.101978940438,-0.030951738756,0.247127897461,0.343404235233,0.0271287421808,-0.000689552606066,-0.00849521597402,0.176117279303,0.111317282569,0.00165437830562,0.978053387891,9.4140127499e-09,-1.3368075118e-08,-0.999999991022,0.0,0.0,0.0
2015-08-27 10:09:54.711,42.3504870402,-71.1106910774,13.07316,-1.0,-0.016328332387,-0.0452502748572,-1.05112304764,-0.181714814226,-0.425038148911,0.106819655209,-0.0297047331411,0.222770456211,0.334655905676,-0.0283883162666,-0.0494713542583,-0.199126431746,0.170832302308,0.100781885625,0.000363538891721,0.980132237944,9.54409629106e-09,5.931064277e-10,-0.999999978181,0.0,0.0,0.0
2015-08-27 10:09:54.763,42.3504870402,-71.1106910774,13.07316,-1.0,-0.0684803256381,0.06671618767,-0.886758299919,0.023462731966,0.0778093481559,0.107000742477,-0.0194707397446,0.199718426679,0.33485160558,-0.00261318638024,-0.029279529019,-0.100090852575,0.169809123009,0.0910992403792,0.00419835169334,0.981248268273,-1.20631413192e-09,1.16080335059e-08,-1.00000001616,0.0,0.0,0.0
2015-08-27 10:09:54.823,42.3504870402,-71.1106910774,13.07316,-1.0,-0.0651150006477,-0.00985911647288,-0.889164963504,-0.155203065866,-0.146231894391,-0.00732023402248,-0.015808063331,0.198678896204,0.329733090715,-0.0638553980566,0.0185591973368,0.114504081437,0.167086494721,0.0911675294933,0.00592166088943,0.981700320251,-9.58408269414e-09,2.04390569276e-08,-1.00000001966,0.0,0.0,0.0
2015-08-27 10:09:54.880,42.3504870402,-71.1106910774,13.07316,-1.0,-0.0609599483238,-0.0293235248409,-0.865528049533,0.0373477541547,0.22587979963,-0.0639250700923,-0.0194071592194,0.203288445856,0.330238738115,-0.0578157936661,-0.0284037431168,0.115662792219,0.167609761744,0.0929560289077,0.00435210087319,0.981451579894,7.79956461916e-09,3.83959710066e-09,-0.99999997818,0.0,0.0,0.0
2015-08-27 10:09:54.938,42.3504870402,-71.1106910774,13.07316,-1.0,0.0380855011105,-0.0838384703086,-1.16829667732,-0.117306133456,-0.443798247498,0.0309783470669,-0.0190086597353,0.190094249734,0.326146164564,0.00452335373881,-0.0733462798489,-0.0755786981893,0.165192739325,0.0870688952995,0.00352856391195,0.982404150837,-1.67158585584e-09,-3.90582107136e-09,-0.999999985117,0.0,0.0,0.0
2015-08-27 10:09:54.996,42.3504870402,-71.1106910774,13.07316,-1.0,-0.00528425972252,0.00972512380909,-0.923413182269,-0.139302766831,-0.112819451082,0.138060644686,-0.0143066560839,0.174450201717,0.324759843002,0.0522116924471,-0.0844702062562,-0.171400990012,0.163941688653,0.080276721142,0.0048824792681,0.983186112677,-5.04480632268e-09,8.99787587754e-09,-0.999999990964,0.0,0.0,0.0
2015-08-27 10:09:55.061,42.3504870402,-71.1106910774,13.07316,-1.0,-0.0806257444795,0.0216965328327,-1.07096039797,-0.285944913458,-0.425802359268,-0.142475750795,-0.00649904601707,0.1631040222,0.316000411634,0.00522247817712,0.0042696968607,0.115170108669,0.159064566992,0.0759539593822,0.00797263523485,0.984309858057,9.83052958481e-10,-1.30688125697e-09,-1.00000002193,0.0,0.0,0.0
2015-08-27 10:09:55.113,42.3504870402,-71.1106910774,13.07316,-1.0,0.0031456584874,-0.0242830452375,-1.16198791554,-0.147515471713,-0.275664749567,0.282080716855,-0.00833886675143,0.136591353948,0.305937587515,-0.0452627070762,0.0080793124588,-0.181216083138,0.153632783333,0.0636909859583,0.00495558901838,0.986060783284,-4.4472653199e-09,1.43057229609e-09,-1.00000001714,0.0,0.0,0.0
2015-08-27 10:09:55.215,42.3504870402,-71.1106910774,13.07316,-1.0,0.0542670670482,-0.00301529767181,-0.926202620225,-0.259943927757,-0.444671777717,0.294514853532,0.00946933867874,0.11542826093,0.296402903012,0.0426810862473,-0.0249086899234,-0.0501003919971,0.148105779275,0.055313808341,0.0125954151338,0.987343109699,3.41999304571e-09,-3.70102018509e-09,-1.00000000087,0.0,0.0,0.0
2015-08-27 10:09:55.232,42.3504870402,-71.1106910774,13.07316,-1.0,-0.00731561544698,-0.035138935009,-1.06849903891,-0.476951027754,0.310371908342,-0.311878284177,0.000420978815988,0.131674770872,0.268824149891,-0.0169403644135,-0.0096749582951,0.150743070762,0.13483367419,0.0628985868602,0.00831888877772,0.988834892267,3.65125141927e-09,4.36222387184e-09,-0.999999981521,0.0,0.0,0.0
2015-08-27 10:09:55.303,42.3504870402,-71.1106910774,13.07316,-1.0,0.0577982830674,-0.0898887276735,-1.23397450297,0.0900487149424,0.170634936863,-0.00320737203272,-0.0109888698272,0.135867742811,0.258709352494,-0.0123551247748,-0.0458197632154,-0.0680479201767,0.130192133665,0.064349775688,0.00242329071668,0.989395392329,2.33522548521e-10,-2.66809056554e-09,-0.999999980623,0.0,0.0,0.0
